iter	Passed	Remaining
823	5559	48414
824	5566	48408
825	5571	48393
826	5578	48386
827	5584	48369
828	5590	48362
829	5597	48355
830	5604	48353
831	5613	48361
832	5620	48360
833	5627	48350
834	5634	48347
835	5640	48335
836	5647	48333
837	5654	48325
838	5660	48311
839	5666	48303
840	5673	48295
841	5680	48288
842	5686	48276
843	5693	48270
844	5699	48261
845	5705	48247
846	5712	48242
847	5718	48227
848	5725	48221
849	5731	48211
850	5738	48206
851	5745	48204
852	5752	48202
853	5759	48193
854	5765	48178
855	5771	48169
856	5778	48164
857	5785	48157
858	5791	48145
859	5798	48140
860	5805	48133
861	5811	48121
862	5818	48115
863	5824	48109
864	5830	48094
865	5837	48089
866	5843	48075
867	5850	48069
868	5856	48061
869	5863	48052
870	5870	48046
871	5876	48040
872	5883	48034
873	5890	48029
874	5896	48017
875	5902	48002
876	5909	47993
877	5915	47981
878	5920	47967
879	5928	47963
880	5934	47953
881	5941	47946
882	5947	47938
883	5954	47933
884	5961	47927
885	5968	47920
886	5974	47910
887	5981	47907
888	5988	47897
889	5994	47890
890	6001	47882
891	6007	47874
892	6013	47859
893	6020	47855
894	6027	47848
895	6033	47840
896	6041	47836
897	6047	47829
898	6054	47820
899	6060	47813
900	6067	47805
901	6072	47787
902	6079	47782
903	6086	47775
904	6093	47773
905	6100	47769
906	6107	47763
907	6114	47759
908	6120	47748
909	6126	47735
910	6132	47723
911	6139	47717
912	6146	47709
913	6152	47700
914	6158	47689
915	6165	47682
916	6172	47674
917	6178	47666
918	6185	47659
919	6191	47649
920	6198	47643
921	6205	47640
922	6212	47633
923	6219	47627
924	6225	47620
925	6232	47609
926	6238	47597
927	6246	47601
928	6252	47591
929	6259	47588
930	6266	47581
931	6273	47574
932	6279	47567
933	6286	47558
934	6292	47546
935	6299	47539
936	6305	47533
937	6311	47521
938	6318	47512
939	6325	47506
940	6331	47498
941	6338	47493
942	6345	47487
943	6351	47477
944	6358	47470
945	6365	47462
946	6371	47456
947	6378	47447
948	6384	47437
949	6390	47427
950	6397	47419
951	6404	47411
952	6410	47403
953	6417	47394
954	6424	47390
955	6430	47380
956	6437	47373
957	6443	47364
958	6450	47357
959	6456	47350
960	6463	47339
961	6470	47336
962	6477	47331
963	6483	47323
964	6490	47314
965	6497	47309
966	6504	47304
967	6509	47291
968	6516	47284
969	6523	47275
970	6529	47270
971	6535	47256
972	6542	47250
973	6549	47241
974	6556	47237
975	6562	47231
976	6569	47220
977	6575	47213
978	6581	47200
979	6588	47192
980	6594	47184
981	6601	47179
982	6608	47170
983	6615	47167
984	6622	47162
985	6629	47157
986	6635	47149
987	6642	47143
988	6649	47137
989	6655	47129
990	6661	47117
991	6669	47113
992	6675	47107
993	6682	47099
994	6689	47092
995	6695	47082
996	6701	47069
997	6707	47060
998	6713	47050
999	6720	47046
1000	6727	47040
1001	6734	47030
1002	6741	47025
1003	6747	47016
1004	6754	47013
1005	6761	47009
1006	6768	47004
1007	6776	47002
1008	6783	46998
1009	6790	46993
1010	6796	46985
1011	6803	46977
1012	6809	46968
1013	6816	46965
1014	6823	46958
1015	6830	46954
1016	6837	46948
1017	6843	46939
1018	6850	46932
1019	6857	46927
1020	6864	46923
1021	6871	46919
1022	6878	46909
1023	6885	46905
1024	6892	46899
1025	6898	46889
1026	6905	46884
1027	6912	46878
1028	6918	46868
1029	6924	46860
1030	6930	46848
1031	6937	46838
1032	6942	46825
1033	6949	46817
1034	6955	46807
1035	6962	46804
1036	6969	46795
1037	6976	46790
1038	6983	46786
1039	6991	46788
1040	6998	46785
1041	7004	46771
1042	7011	46769
1043	7018	46762
1044	7025	46755
1045	7031	46745
1046	7037	46737
1047	7044	46730
1048	7051	46724
1049	7058	46718
1050	7064	46711
1051	7071	46707
1052	7078	46698
1053	7085	46693
1054	7092	46687
1055	7098	46678
1056	7105	46670
1057	7111	46663
1058	7118	46656
1059	7125	46650
1060	7131	46643
1061	7138	46636
1062	7144	46626
1063	7151	46621
1064	7158	46612
1065	7165	46607
1066	7172	46604
1067	7179	46596
1068	7186	46596
1069	7193	46591
1070	7200	46587
1071	7208	46586
1072	7215	46584
1073	7223	46581
1074	7231	46586
1075	7239	46585
1076	7247	46584
1077	7254	46584
1078	7262	46583
1079	7270	46586
1080	7279	46590
1081	7286	46586
1082	7293	46585
1083	7301	46586
1084	7310	46590
1085	7317	46589
1086	7326	46591
1087	7333	46591
1088	7340	46587
1089	7348	46585
1090	7356	46584
1091	7363	46582
1092	7371	46580
1093	7378	46578
1094	7386	46578
1095	7393	46575
1096	7400	46570
1097	7407	46564
1098	7415	46562
1099	7421	46554
1100	7428	46547
1101	7434	46538
1102	7442	46535
1103	7448	46527
1104	7455	46522
1105	7462	46514
1106	7469	46508
1107	7475	46497
1108	7482	46493
1109	7489	46491
1110	7496	46486
1111	7504	46483
1112	7511	46481
1113	7519	46480
1114	7526	46478
1115	7534	46475
1116	7541	46473
1117	7548	46465
1118	7555	46460
1119	7562	46452
1120	7568	46444
1121	7574	46433
1122	7581	46424
1123	7588	46420
1124	7594	46413
1125	7601	46406
1126	7608	46401
1127	7615	46394
1128	7622	46387
1129	7628	46377
1130	7634	46366
1131	7640	46358
1132	7647	46351
1133	7653	46340
1134	7660	46334
1135	7667	46327
1136	7673	46319
1137	7680	46311
1138	7686	46303
1139	7693	46296
1140	7699	46283
1141	7706	46278
1142	7713	46271
1143	7719	46262
1144	7725	46254
1145	7732	46247
1146	7739	46241
1147	7747	46240
1148	7753	46233
1149	7761	46228
1150	7767	46223
1151	7774	46216
1152	7780	46205
1153	7787	46198
1154	7794	46190
1155	7800	46179
1156	7806	46170
1157	7812	46162
1158	7819	46153
1159	7825	46145
1160	7832	46138
1161	7839	46133
1162	7845	46123
1163	7851	46112
1164	7858	46106
1165	7865	46098
1166	7872	46092
1167	7879	46087
1168	7886	46081
1169	7892	46070
1170	7898	46064
1171	7905	46057
1172	7912	46050
1173	7918	46042
1174	7926	46039
1175	7932	46027
1176	7939	46023
1177	7946	46019
1178	7953	46012
1179	7959	46006
1180	7966	45999
1181	7973	45991
1182	7979	45983
1183	7986	45974
1184	7992	45966
1185	7998	45954
1186	8005	45950
1187	8012	45945
1188	8019	45939
1189	8026	45935
1190	8032	45924
1191	8039	45917
1192	8046	45912
1193	8053	45907
1194	8059	45897
1195	8066	45890
1196	8072	45879
1197	8078	45870
1198	8085	45861
1199	8092	45856
1200	8099	45851
1201	8105	45843
1202	8112	45834
1203	8119	45828
1204	8125	45819
1205	8132	45812
1206	8139	45806
1207	8145	45798
1208	8152	45792
1209	8159	45786
1210	8166	45780
1211	8172	45771
1212	8179	45765
1213	8186	45758
1214	8192	45749
1215	8198	45738
1216	8204	45728
1217	8211	45722
1218	8218	45717
1219	8225	45710
1220	8231	45701
1221	8238	45696
1222	8245	45690
1223	8252	45686
1224	8259	45680
1225	8266	45672
1226	8272	45665
1227	8279	45659
1228	8286	45653
1229	8293	45647
1230	8299	45638
1231	8306	45630
1232	8313	45623
1233	8319	45615
1234	8326	45610
1235	8333	45602
1236	8340	45600
1237	8347	45594
1238	8354	45589
1239	8362	45586
1240	8370	45588
1241	8376	45578
1242	8382	45566
1243	8390	45565
1244	8397	45561
1245	8403	45550
1246	8409	45541
1247	8416	45533
1248	8421	45521
1249	8428	45515
1250	8434	45505
1251	8441	45498
1252	8448	45492
1253	8455	45486
1254	8462	45481
1255	8469	45476
1256	8476	45469
1257	8482	45461
1258	8489	45454
1259	8496	45446
1260	8502	45441
1261	8509	45431
1262	8515	45422
1263	8522	45415
1264	8528	45408
1265	8535	45401
1266	8541	45392
1267	8548	45385
1268	8555	45378
1269	8561	45369
1270	8568	45363
1271	8574	45352
1272	8580	45343
1273	8587	45336
1274	8593	45328
1275	8600	45320
1276	8607	45313
1277	8614	45307
1278	8620	45299
1279	8626	45290
1280	8633	45284
1281	8639	45273
1282	8646	45270
1283	8653	45264
1284	8660	45258
1285	8667	45249
1286	8673	45240
1287	8679	45231
1288	8686	45223
1289	8692	45213
1290	8698	45204
1291	8704	45195
1292	8712	45191
1293	8719	45188
1294	8726	45181
1295	8733	45175
1296	8739	45168
1297	8746	45158
1298	8751	45146
1299	8758	45140
1300	8764	45130
1301	8771	45124
1302	8778	45118
1303	8784	45109
1304	8791	45102
1305	8798	45096
1306	8805	45089
1307	8811	45082
1308	8818	45078
